Role,Skills
Data Scientist,"Python SQL Machine Learning Pandas Statistics"
AI Engineer,"Python Deep Learning TensorFlow Machine Learning"
Backend Developer,"Python Django REST API SQL"
DevOps Engineer,"Linux Docker AWS Kubernetes CI/CD"
Cloud Engineer,"AWS Azure Docker Linux Terraform"
Frontend Developer,"HTML CSS JavaScript React UI UX"
Data Analyst,"SQL Excel Power BI Python Statistics"
Cybersecurity Analyst,"Networking Security Linux Python"
Mobile Developer,"Java Kotlin Android Firebase"
Full Stack Developer,"HTML CSS JavaScript Python Django SQL"